,headphones_list
0,Enacfire TWS E005 Wireless Bluetooth Earbuds MINI with ...
1,boAt Airdopes 131 Bluetooth Headset
2,Oxhox Magnetic Bluetooth Headset with Mic Bluetooth Hea...
3,Boult Audio Airbass Z1 Bluetooth Headset
4,Avlokan Air Tune (Buds) True wireless Bluetooth headset...
5,DAYNEO TwsL21 Mini Wireless Bluetooth Headset / Earphon...
6,Truke Buds Q1 with Environmental Noise Cancellation(ENC...
7,Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...
8,Grostar TWS A6S ear buds True Wireless Earbuds A6S Blue...
9,boAt Airdopes 131 Bluetooth Headset
10,HOPPUP GRAND With Power Bank Function & Upto 75 Hours P...
11,Boult Audio Airbass Z1 Bluetooth Headset
12,Enacfire X12 Moonwalk TWS in ear Bluetooth Earbuds Head...
13,boAt 100 Wireless Neckband with BT 5.0 IPX4 Bluetooth H...
14,JBL T450BT Extra Bass with Voice Assistant Support Ligh...
15,Boult Audio AirBass Combuds Bluetooth Headset
16,JBL T450BT Extra Bass with Voice Assistant Support Ligh...
17,DIZO by realme TechLife GoPods D with Enviornment Noise...
18,boAt Airdopes 131 Bluetooth Headset
19,WeCool Moonwalk M3-V2 Bluetooth In Ear True wireless Ea...
20,kabeer enterprises Portable Earbuds with Sensor Wireles...
21,N2B MAGNET Red & k1 Pack of 2 Bluetooth Bluetooth Heads...
22,OPPO Enco Buds With 24 hours Battery Life Bluetooth Hea...
23,WeCool Moonwalk M1 Bluetooth Earbuds with 20 hours play...
24,Noise Buds VS102 Truly Wireless Bluetooth Headset
25,boAt Airdopes 402 Bluetooth Headset
26,Noise Buds VS102 Truly Wireless Bluetooth Headset
27,i2A K1 BLACK Bluetooth Headset Bluetooth Headset
28,blue seed BBD-S19 True wireless Portable Bluetooth Head...
29,OPPO Enco Buds With 24 hours Battery Life Bluetooth Hea...
30,boAt Rockerz 600 HD Sound Bluetooth Headset
31,Mytrack Low Latency Gaming Deep Bass With Microphone V5...
32,Intex Jogger B Bluetooth Headset
33,boAt Rockerz 600 HD Sound Bluetooth Headset
34,Boult Audio AirBass GearPods with 32H Playtime Bluetoot...
35,RFV1 TWS Bluetooth Earphones Touch Sensor with in Built...
36,realme Buds Air 2 with Active Noise Cancellation (ANC) ...
37,Truke Buds S1 with Environmental Noise Cancellation(ENC...
38,realme Buds Q2 Neo with Environment Noise Cancellation ...
39,TIGENECY i7S Single 2 PIC Ear Sound with Mic Bluetooth ...
